('!',)	('!', 'SENT')=2,
('DESCRIBING',)	('DESCRIBING', 'NP')=1,
('Darkness',)	('Darkness', 'NP')=2,('darkness', 'NN')=1,
('De',)	('De', 'NP')=4,
('Delacroix',)	('Delacroix', 'NP')=1,
('Delilah',)	('Delilah', 'NP')=1,
('Describing',)	('describe', 'VVG')=1,
('Desdemona',)	('Desdemona', 'NP')=2,('Desdemona', 'NN')=1,
('Dido',)	('Dido', 'NP')=2,
('EXPERIENCE',)	('EXPERIENCE', 'NP')=1,
('Early',)	('Early', 'RB')=1,
('Education',)	('Education', 'NP')=1,
('Either',)	('either', 'DT')=1,
('Elsewhere',)	('elsewhere', 'RB')=1,
('Emergency',)	('Emergency', 'NP')=1,
('Emily',)	('Emily', 'NP')=1,
('Emperor',)	('emperor', 'NN')=1,
('England',)	('England', 'NP')=4,
('English',)	('English', 'JJ')=2,
('Enthusiasts',)	('enthusiast', 'NNS')=1,
('European',)	('European', 'JJ')=1,
('Every so often',)	('Every_so_often', 'NP')=1,
('Everywhere',)	('everywhere', 'RB')=1,
('Exhibition',)	('exhibition', 'NN')=1,
('Ferdinand',)	('Ferdinand', 'NP')=2,
('First',)	('first', 'RB')=1,
('Following',)	('follow', 'VVG')=1,
('For',)	('for', 'IN')=4,
('France',)	('France', 'NP')=1,
('Free',)	('Free', 'NP')=2,
('Freitas',)	('Freitas', 'NP')=5,
('French',)	('French', 'JJ')=1,
('Fry',)	('Fry', 'NP')=1,
('G&amp;eacute;ricault',)	('G&amp;eacute;ricault', 'NP')=1,
('Gail',)	('Gail', 'NP')=4,
('Gangs',)	('gangue', 'NNS')=1,
('Giotto',)	('Giotto', 'NP')=1,
('God',)	('God', 'NP')=2,
('Golding',)	('Golding', 'NP')=1,
('Grange',)	('Grange', 'NP')=4,
('Greek',)	('Greek', 'JJ')=1,
('Grey',)	('Grey', 'NP')=1,
('Guernica',)	('Guernica', 'NP')=1,
('Guerrillas',)	('Guerrillas', 'NP')=8,('guerrilla', 'NNS')=2,
('Hakim',)	('Hakim', 'NP')=1,
('Hardship',)	('hardship', 'NN')=1,
('Harry',)	('Harry', 'NP')=1,
('Hawthorne',)	('Hawthorne', 'NP')=1,
('He',)	('he', 'PP')=14,
('Heart',)	('Heart', 'NP')=1,
('Heathcliff',)	('Heathcliff', 'NP')=1,
('Heavyweight',)	('Heavyweight', 'NP')=1,
('Heights',)	('Heights', 'NP')=1,
('Henry',)	('Henry', 'NP')=1,
('Her',)	('her', 'PP$')=1,
('Herbert',)	('Herbert', 'NP')=2,
('Here',)	('here', 'RB')=1,
('Hindu',)	('Hindu', 'NP')=1,
('His',)	('his', 'PP$')=6,
('Hitherto',)	('hitherto', 'RB')=1,
('House',)	('House', 'NP')=1,
('How',)	('How', 'WRB')=1,
('I',)	('I', 'PP')=31,('I', 'NN')=1,
('IN',)	('in', 'IN')=1,
('If',)	('if', 'IN')=1,
('Impressionist',)	('impressionist', 'NN')=1,
('In',)	('in', 'IN')=19,
('Inconceivable',)	('Inconceivable', 'NN')=1,
('Indar',)	('Indar', 'NP')=2,
('India',)	('India', 'NP')=3,
('Indian',)	('Indian', 'JJ')=1,
('Indians',)	('Indians', 'NPS')=1,
('Indies',)	('Indies', 'NP')=3,
('Ingres',)	('Ingres', 'NP')=1,
('Inland',)	('inland', 'RB')=1,
('Inouk',)	('Inouk', 'NP')=1,
('Instead of',)	('Instead_of', 'NP')=1,
('Intended',)	('Intended', 'NP')=1,
('It',)	('it', 'PP')=25,
('Italy',)	('Italy', 'NP')=2,
('Its',)	('its', 'PP$')=1,
('J.',)	('J.', 'NP')=1,
('Jacques',)	('Jacques', 'NP')=1,
('Jamal',)	('Jamal', 'NP')=1,
('James',)	('James', 'NP')=1,
('Jane',)	('Jane', 'NP')=10,
('Japanese',)	('Japanese', 'NNS')=1,
('Jewish',)	('Jewish', 'JJ')=1,
('Jimmy',)	('Jimmy', 'NP')=5,
('Jung',)	('Jung', 'NP')=1,
('Kao',)	('Kao', 'NP')=1,
('Kate',)	('Kate', 'NP')=1,
('Kensington',)	('Kensington', 'NP')=2,
('Kenya',)	('Kenya', 'NP')=3,
('Klee',)	('Klee', 'NP')=1,
('Kohlberg',)	('Kohlberg', 'NP')=1,
('Kumai',)	('Kumai', 'NP')=1,
('Kunstler',)	('Kunstler', 'NP')=1,
('Latin',)	('Latin', 'JJ')=2,
('Layard',)	('Layard', 'NP')=1,
('Let',)	('let', 'VV')=1,
('London',)	('London', 'NP')=7,
('Louvre',)	('Louvre', 'NP')=1,
('Lyc&amp;eacute;e',)	('Lyc&amp;eacute;e', 'NN')=1,
('Malik',)	('Malik', 'NP')=1,
('Maquet',)	('Maquet', 'NP')=1,
('Mark',)	('Mark', 'NP')=1,
('Mathematical',)	('mathematical', 'JJ')=1,
('Matty',)	('Matty', 'NP')=1,
('May',)	('May', 'NP')=1,
('Meanwhile',)	('meanwhile', 'RB')=1,
('Medusa',)	('Medusa', 'NP')=1,
('Men',)	('Men', 'NPS')=1,
('Meredith',)	('Meredith', 'NP')=1,
('Metty',)	('Metty', 'NP')=5,
('Michael',)	('Michael', 'NP')=8,
('Millett',)	('Millett', 'NP')=1,
('Mimic',)	('Mimic', 'NP')=1,
('Miscerique',)	('Miscerique', 'NP')=1,
('Moslem',)	('Moslem', 'NP')=1,
('Most',)	('most', 'RBS')=1,
('Mr',)	('Mr', 'NP')=1,
('Muslim',)	('Muslim', 'NN')=1,('Muslim', 'JJ')=1,
('Mussorgsky',)	('Mussorgsky', 'NP')=1,
('My',)	('My', 'NP')=2,('my', 'PP$')=2,
('Naipaul',)	('Naipaul', 'NP')=23,
('Named',)	('name', 'VVN')=1,
('Nathaniel',)	('Nathaniel', 'NP')=1,
('Negro',)	('Negro', 'NP')=2,
('Nevertheless',)	('nevertheless', 'RB')=1,
('No',)	('no', 'DT')=1,
('No one',)	('No_one', 'NP')=1,
('Nor',)	('nor', 'CC')=1,
('Nostromo',)	('Nostromo', 'NP')=1,
('Now',)	('now', 'RB')=1,
('OF',)	('of', 'IN')=1,
('OK',)	('OK', 'JJ')=1,
('Of',)	('of', 'IN')=1,
('Oh',)	('Oh', 'NP')=1,
('On',)	('on', 'IN')=1,
('One',)	('One', 'CD')=3,
('Or',)	('or', 'CC')=1,
('Othello',)	('Othello', 'NP')=4,
('Other',)	('other', 'JJ')=1,
('Our',)	('our', 'PP$')=1,
('Outside',)	('outside', 'IN')=1,
('Over',)	('over', 'IN')=1,
('Paolo',)	('Paolo', 'NP')=3,
('Parsons',)	('Parsons', 'NP')=5,
('Patel',)	('Patel', 'NP')=1,
('Patricia',)	('Patricia', 'NP')=1,
('Paul',)	('Paul', 'NP')=2,
('Perhaps',)	('perhaps', 'RB')=4,
('Peter',)	('Peter', 'NP')=1,
('Peugeot',)	('Peugeot', 'NP')=1,
('Piaget',)	('Piaget', 'NP')=1,
('Picasso',)	('Picasso', 'NP')=1,
('Pictures',)	('picture', 'NNS')=1,
('Politicians',)	('politician', 'NNS')=1,
('Port',)	('Port', 'NP')=1,
('Presently',)	('presently', 'RB')=1,
('President',)	('President', 'NP')=1,
('Presidential',)	('presidential', 'JJ')=1,
('Questions',)	('question', 'NNS')=1,
('Races',)	('race', 'NNS')=1,
('Raised',)	('Raised', 'JJ')=1,
('Rapes',)	('rape', 'NNS')=1,
('Raymond',)	('Raymond', 'NP')=3,
('Read',)	('Read', 'NP')=1,
('Reading',)	('read', 'VVG')=1,
('Reggae',)	('Reggae', 'NP')=1,
('Renaissance',)	('Renaissance', 'NP')=1,
('Renoir',)	('Renoir', 'NP')=1,
('Ridge',)	('Ridge', 'NP')=3,
('River',)	('River', 'NP')=3,('river', 'NN')=1,
('Roche',)	('Roche', 'NP')=5,
('Roger',)	('Roger', 'NP')=1,
('Roman',)	('Roman', 'NP')=3,
('Romance',)	('Romance', 'NP')=1,
('Romans',)	('Roman', 'NNS')=1,
('Romantic',)	('romantic', 'JJ')=1,
('Rome',)	('Rome', 'NP')=2,
('Romeward',)	('Romeward', 'NP')=1,
('Rothko',)	('Rothko', 'NP')=2,
('S.',)	('S.', 'NP')=1,
('Sablich',)	('Sablich', 'NP')=1,
('Salim',)	('Salim', 'NP')=24,
('Samson',)	('Samson', 'NP')=1,
('Schiller',)	('Schiller', 'NP')=1,
('Secret',)	('Secret', 'NP')=1,
('Shakespeare',)	('Shakespeare', 'NP')=1,
('She',)	('she', 'PP')=4,
('Since',)	('since', 'IN')=1,
('Sir',)	('Sir', 'NP')=1,
('Sixties',)	('Sixties', 'NP')=1,
('So',)	('So', 'RB')=1,
('Sodomy',)	('sodomy', 'NN')=1,
('Some',)	('some', 'DT')=1,
('Sometimes',)	('sometimes', 'RB')=1,
('South',)	('South', 'NP')=4,
('South-East',)	('South-East', 'NP')=1,
('Spain',)	('Spain', 'NP')=1,
('State',)	('State', 'NP')=2,('state', 'NN')=1,
('Stephens',)	('Stephens', 'NP')=1,
('Such',)	('such', 'JJ')=1,
('Suddenly',)	('suddenly', 'RB')=1,
('Sugai',)	('Sugai', 'NP')=1,
('Suppose',)	('suppose', 'VV')=1,
('Swinging',)	('Swinging', 'NP')=1,
('THE',)	('the', 'DT')=1,
('Tantric',)	('Tantric', 'JJ')=3,
('That',)	('that', 'DT')=2,
('The',)	('the', 'DT')=51,
('Their',)	('their', 'PP$')=1,
('Then',)	('then', 'RB')=3,
('There',)	('There', 'EX')=10,
('Theroux',)	('Theroux', 'NP')=1,
('These',)	('these', 'DT')=1,
('They',)	('they', 'PP')=6,
('Third',)	('Third', 'NP')=3,
('This',)	('this', 'DT')=14,
('Three',)	('Three', 'CD')=1,
('Thrushcross',)	('Thrushcross', 'NP')=1,
('Tiber',)	('Tiber', 'NN')=1,
('Times',)	('time', 'NNS')=1,
('To',)	('To', 'TO')=1,
('Together',)	('together', 'RB')=1,
('Torada',)	('Torada', 'NP')=1,
('Tortured',)	('torture', 'VVN')=1,
('Toru',)	('Toru', 'NP')=1,
('Trinidad',)	('Trinidad', 'NP')=4,
('Troy',)	('Troy', 'NP')=1,
('Tunja',)	('Tunja', 'NP')=1,
('Two',)	('Two', 'CD')=1,
('Uccello',)	('Uccello', 'NP')=3,
('Uganda',)	('Uganda', 'NP')=2,
('Ulster',)	('Ulster', 'NP')=1,
('Understand',)	('Understand', 'NP')=1,
('Unfortunately',)	('unfortunately', 'RB')=1,
('Unlike',)	('unlike', 'IN')=1,
('V.',)	('V.', 'NP')=1,
('Vasari',)	('Vasari', 'NP')=1,
('Venice',)	('Venice', 'NP')=1,
('Virgil',)	('Virgil', 'NP')=2,
('Visible',)	('Visible', 'NP')=1,
('WAYS',)	('way', 'NNS')=1,
('Watergate',)	('Watergate', 'NP')=1,
('We',)	('we', 'PP')=3,
('Wealthy',)	('wealthy', 'JJ')=1,
('Well',)	('well', 'RB')=1,
('West',)	('West', 'NP')=6,('west', 'NN')=1,
('Western',)	('Western', 'JJ')=3,
('What',)	('What', 'WP')=5,
('When',)	('when', 'WRB')=5,
('Whereas',)	('whereas', 'IN')=1,
('Whereupon',)	('whereupon', 'IN')=1,
('While',)	('while', 'IN')=1,
('Willetts',)	('Willetts', 'NP')=1,
('William',)	('William', 'NP')=2,
('With',)	('with', 'IN')=1,
('World',)	('World', 'NP')=4,('world', 'NN')=1,
('Wuthering',)	('Wuthering', 'NP')=1,
('X',)	('X', 'NP')=4,
('X.',)	('X.', 'NP')=1,
('Yet',)	('yet', 'RB')=1,
('You',)	('you', 'PP')=3,
('Yvette',)	('Yvette', 'NP')=7,
('a',)	('a', 'DT')=237,
('able',)	('able', 'JJ')=3,
('aborigines',)	('aborigine', 'NNS')=1,
('about',)	('about', 'IN')=18,('about', 'RB')=2,
('above',)	('above', 'IN')=3,
('absorption',)	('absorptance', 'NN')=1,
('abstract',)	('abstract', 'JJ')=2,
('acceptance',)	('acceptance', 'NN')=1,
('accessibility',)	('accessibility', 'NN')=1,
('accommodate',)	('accommodate', 'VV')=2,
('according to',)	('according_to', 'NP')=1,
('account',)	('account', 'NN')=5,
('accurate',)	('accurate', 'JJ')=1,
('achievement',)	('achievement', 'NN')=2,
('achiever',)	('achiever', 'NN')=2,
('acknowledges',)	('acknowledge', 'VVZ')=1,
('acquired',)	('acquire', 'VVN')=1,
('across',)	('across', 'IN')=1,
('act',)	('act', 'NN')=2,
('action',)	('action', 'NN')=4,
('action-seeking',)	('action-seeking', 'NN')=1,
('activities',)	('activity', 'NNS')=2,
('activity',)	('activity', 'NN')=1,
('actually',)	('actually', 'RB')=2,
('added',)	('add', 'VVN')=1,
('address',)	('address', 'VVP')=1,
('addressing',)	('address', 'VVG')=1,
('admirer',)	('admirer', 'NN')=1,
('adorned',)	('adorn', 'VVN')=1,
('advantages',)	('advantage', 'NNS')=1,
('adventure',)	('adventure', 'NN')=1,
('adventurer',)	('adventurer', 'NN')=1,
('adventures',)	('adventure', 'NNS')=1,
('advice',)	('advice', 'NN')=1,
('aesthetic',)	('aesthetic', 'JJ')=5,('aesthetic', 'NN')=1,
('aesthetically',)	('aesthetically', 'RB')=1,
('aesthetics',)	('aesthetics', 'NN')=1,('aesthetics', 'NNS')=1,
('affair',)	('affair', 'NN')=6,
('affairs',)	('affair', 'NNS')=2,
('affect',)	('affect', 'VVP')=1,
('affects',)	('affect', 'VVZ')=1,
('affinity',)	('affinity', 'NN')=1,
('after',)	('after', 'IN')=3,
('again',)	('again', 'RB')=1,
('again&apos;',)	('again&apos;', 'NN')=1,
('against',)	('against', 'IN')=3,
('age',)	('age', 'NN')=1,
('agricultural',)	('agricultural', 'JJ')=1,
('air',)	('air', 'NN')=2,
('airmail',)	('airmail', 'JJ')=1,
('airport',)	('airport', 'NN')=1,
('alienation',)	('alienation', 'NN')=1,
('aliens',)	('alien', 'NNS')=1,
('alive',)	('alive', 'JJ')=2,
('all',)	('all', 'DT')=4,('all', 'PDT')=3,('all', 'RB')=2,
('allow',)	('allow', 'VVP')=2,('allow', 'VV')=2,
('allusions',)	('allusion', 'NNS')=1,
('almost',)	('almost', 'RB')=3,
('alone',)	('alone', 'RB')=2,
('along',)	('along', 'IN')=1,
('also',)	('also', 'RB')=14,
('altered',)	('alter', 'VVN')=1,
('alternative',)	('alternative', 'JJ')=1,
('although',)	('although', 'IN')=2,
('altogether',)	('altogether', 'RB')=2,
('always',)	('always', 'RB')=2,
('am',)	('be', 'VBP')=1,
('amid',)	('amidst', 'IN')=1,
('among',)	('amongst', 'IN')=4,
('amusing',)	('amusing', 'JJ')=1,
('an',)	('an', 'DT')=63,
('analysing',)	('analyse', 'VVG')=1,
('ancestral',)	('ancestral', 'JJ')=1,
('ancient',)	('ancient', 'JJ')=3,
('and',)	('and', 'CC')=250,
('angle',)	('angle', 'NN')=2,
('animal',)	('animal', 'NN')=2,
('animals',)	('animal', 'NNS')=2,
('animus',)	('animus', 'NN')=1,
('another',)	('another', 'DT')=5,
('anthropologist',)	('anthropologist', 'NN')=2,
('antic',)	('antic', 'NN')=1,
('anticipate',)	('anticipate', 'VV')=1,
('antics',)	('antic', 'NNS')=6,
('anxieties',)	('anxiety', 'NNS')=1,
('any',)	('any', 'DT')=2,
('apparent',)	('apparent', 'JJ')=3,
('appeal',)	('appeal', 'VVP')=1,
('appear',)	('appear', 'VVP')=2,('appear', 'VV')=2,
('appearance',)	('appearance', 'NN')=3,
('appeared',)	('appear', 'VVD')=1,
('appears',)	('appear', 'VVZ')=4,
('appreciation',)	('appreciation', 'NN')=1,
('approve',)	('approve', 'VV')=1,
('approves',)	('approve', 'VVZ')=2,
('apt',)	('apt', 'JJ')=1,
('aquatint',)	('aquatint', 'NN')=3,
('archaeological',)	('archaeological', 'JJ')=1,
('archaeologist',)	('archaeologist', 'NN')=1,
('are',)	('be', 'VBP')=54,
('area',)	('area', 'NN')=2,
('areas',)	('area', 'NNS')=2,
('argued',)	('argue', 'VVD')=1,
('aristocratic',)	('aristocratic', 'JJ')=1,
('army',)	('army', 'NN')=2,
('around',)	('around', 'IN')=1,
('arrested',)	('arrest', 'VVN')=2,
('arrests',)	('arrest', 'NNS')=1,
('arrive',)	('arrive', 'VV')=1,
('arrived',)	('arrive', 'VVN')=1,
('arse',)	('arse', 'NN')=1,
('art',)	('art', 'NN')=16,
('article',)	('article', 'NN')=5,
('artist',)	('artist', 'NN')=5,
('artistic',)	('artistic', 'JJ')=1,
('artists',)	('artist', 'NNS')=1,
('arts',)	('art', 'NNS')=1,
('as',)	('as', 'IN')=48,('as', 'RB')=8,
('as if',)	('as_if', 'NN')=1,
('as it were',)	('as_it_were', 'NN')=2,
('as though',)	('as_though', 'JJS')=1,
('as to',)	('as_to', 'RB')=1,('as_to', 'NN')=1,
('as well',)	('as_well', 'NN')=1,
('as well as',)	('as_well_as', 'NNS')=2,
('ashes',)	('ash', 'NNS')=1,
('aside',)	('aside', 'RB')=1,
('ask',)	('ask', 'VV')=1,
('aspect',)	('aspect', 'NN')=1,
('aspects',)	('aspect', 'NNS')=1,
('asset',)	('asset', 'NN')=1,
('assist',)	('assist', 'VV')=1,
('associations',)	('association', 'NNS')=1,
('assumptions',)	('assumption', 'NNS')=1,
('at',)	('at', 'IN')=22,
('at all',)	('at_all', 'NN')=3,
('at least',)	('at_least', 'NN')=1,
('atavistic',)	('atavistic', 'JJ')=1,
('attachment',)	('attachment', 'NN')=1,
('attacked',)	('attack', 'VVN')=1,
('attained',)	('attain', 'VVN')=1,
('attempt',)	('attempt', 'NN')=1,
('attempts',)	('attempt', 'NNS')=1,
('attention',)	('attention', 'NN')=3,
('attitude',)	('attitude', 'NN')=2,
('attract',)	('attract', 'VV')=1,
('attributed',)	('attribute', 'VVN')=1,
('author',)	('author', 'NN')=4,
('authors',)	('author', 'NNS')=1,
('autobiographical',)	('autobiographical', 'JJ')=1,
('automobile',)	('automobile', 'NN')=1,
('available',)	('available', 'JJ')=1,
('avoid',)	('avoid', 'VVP')=1,
('aware',)	('aware', 'JJ')=1,
('awareness',)	('awareness', 'NN')=1,
('away',)	('away', 'RB')=2,
('away from',)	('away_from', 'RB')=1,
('back',)	('back', 'RB')=4,('back', 'NN')=1,
('backed',)	('backed', 'VVN')=1,
('backwardness',)	('backwardness', 'NN')=1,
('backwater',)	('backwater', 'NN')=2,
('backwaters',)	('backwater', 'NNS')=1,
('bad',)	('bad', 'JJ')=1,
('bare',)	('bare', 'JJ')=1,
('barely',)	('barely', 'RB')=1,
('barricaded',)	('barricade', 'VVN')=1,
('based',)	('base', 'VVN')=1,
('bauxite',)	('bauxite', 'NN')=2,
('be',)	('be', 'VB')=97,
('bears',)	('bear', 'VVZ')=2,
('beat',)	('beat', 'NN')=1,
('beaten',)	('beat', 'VVN')=1,
('beats',)	('beat', 'VVZ')=2,
('beauty',)	('beauty', 'NN')=1,
('because of',)	('because_of', 'JJ')=1,
('become',)	('become', 'VVN')=3,('become', 'VV')=3,
('becomes',)	('become', 'VVZ')=1,
('becoming',)	('become', 'VVG')=1,
('bed',)	('bed', 'NN')=1,
('been',)	('be', 'VBN')=28,
('began',)	('begin', 'VVD')=1,
('begins',)	('begin', 'VVZ')=1,
('begun',)	('begin', 'VVN')=1,
('behaviour',)	('behaviour', 'NN')=3,
('behind',)	('behind', 'IN')=1,('behind', 'RB')=1,
('being',)	('being', 'VBG')=6,
('believed',)	('believe', 'VVN')=1,
('believes',)	('believe', 'VVZ')=2,
('belong',)	('belong', 'VV')=2,
('belonged',)	('belong', 'VVD')=1,
('belongs',)	('belong', 'VVZ')=2,
('below',)	('below', 'IN')=1,
('bend',)	('bend', 'VV')=1,
('bends',)	('bend', 'NNS')=1,
('besides',)	('besides', 'IN')=1,
('best',)	('good', 'JJS')=1,
('betrayal',)	('betrayal', 'NN')=2,
('betrays',)	('betray', 'VVZ')=1,
('between',)	('between', 'IN')=15,
('beyond',)	('beyond', 'IN')=4,
('big',)	('big', 'JJ')=4,
('bird',)	('bird', 'NN')=1,
('black',)	('black', 'JJ')=4,
('blood',)	('blood', 'NN')=2,
('blows',)	('blow', 'NNS')=1,
('blue',)	('blue', 'JJ')=2,
('bluffs',)	('bluff', 'NNS')=1,
('boat',)	('boat', 'NN')=1,
('body',)	('body', 'NN')=1,
('bonds',)	('bond', 'NNS')=1,
('book',)	('book', 'NN')=11,
('both',)	('both', 'DT')=5,('both', 'CC')=3,
('bound',)	('bind', 'VVN')=2,
('bourgeoisie',)	('bourgeoisie', 'NNS')=1,
('boy',)	('boy', 'NN')=3,
('boys',)	('boy', 'NNS')=2,
('breaks',)	('break', 'VVZ')=1,
('breathes',)	('breathe', 'VVZ')=1,
('bribed',)	('bribe', 'VVN')=1,
('bride',)	('bride', 'NN')=2,
('brief',)	('brief', 'JJ')=1,
('bring',)	('bring', 'VVP')=1,
('bronze',)	('bronze', 'NN')=1,
('brothel',)	('brothel', 'NN')=1,
('brought',)	('bring', 'VVN')=2,
('buggers',)	('bugger', 'VVZ')=1,
('built',)	('build', 'VVN')=1,
('bunch',)	('bunch', 'NN')=1,
('buried',)	('bury', 'VVN')=1,
('buries',)	('bury', 'VVZ')=1,
('burning',)	('burn', 'VVG')=1,
('bush',)	('bush', 'NN')=3,
('business',)	('business', 'NN')=1,
('businessman',)	('businessman', 'NN')=1,
('but',)	('but', 'CC')=21,
('by',)	('by', 'IN')=66,
('by no means',)	('by_no_means', 'NNS')=2,
('by now',)	('by_now', 'NN')=1,
('bystanders',)	('bystander', 'NNS')=2,
('call',)	('call', 'VV')=1,
('called',)	('call', 'VVN')=3,('call', 'VVD')=2,
('calm',)	('calm', 'JJ')=1,
('calmly',)	('calmly', 'RB')=1,
('came',)	('come', 'VVD')=2,
('camera',)	('camera', 'NN')=1,
('can',)	('can', 'MD')=33,
('cancels',)	('cancel', 'VVZ')=1,
('candid',)	('candid', 'JJ')=1,
('capacity',)	('capacity', 'NN')=1,
('capital',)	('capital', 'NN')=2,
('carefully',)	('carefully', 'RB')=1,
('cares',)	('care', 'VVZ')=1,
('caring',)	('care', 'VVG')=1,
('carrots',)	('carrot', 'NNS')=1,
('carry',)	('carry', 'VVP')=1,('carry', 'VV')=1,
('cars',)	('car', 'NNS')=1,
('carved',)	('carve', 'VVN')=2,
('carvings',)	('carving', 'NNS')=1,
('case',)	('case', 'NN')=1,
('cases',)	('case', 'NNS')=1,
('catch',)	('catch', 'VV')=1,
('catches',)	('catch', 'VVZ')=1,
('categories',)	('category', 'NNS')=1,
('category',)	('category', 'NN')=2,
('causes',)	('cause', 'VVZ')=1,
('celebrities',)	('celebrity', 'NNS')=1,
('celebrity',)	('celebrity', 'NN')=1,
('centre',)	('center', 'NN')=3,
('centres',)	('center', 'NNS')=1,
('centuries',)	('century', 'NNS')=2,
('century',)	('century', 'NN')=3,
('ceremonies',)	('ceremony', 'NNS')=1,
('certain',)	('certain', 'JJ')=3,
('chance',)	('chance', 'VV')=1,
('change',)	('change', 'NN')=2,
('changed',)	('change', 'VVN')=1,
('chapter',)	('chapter', 'NN')=1,
('character',)	('character', 'NN')=1,
('characterise',)	('characterize', 'VV')=1,
('characteristic',)	('characteristic', 'NN')=1,('characteristic', 'JJ')=1,
('characteristically',)	('characteristically', 'RB')=1,
('characters',)	('character', 'NNS')=2,
('charge',)	('charge', 'NN')=1,
('charred',)	('char', 'VVN')=1,
('check',)	('cheque', 'NN')=1,
('chic',)	('chic', 'JJ')=1,
('chief',)	('chief', 'JJ')=1,
('children',)	('child', 'NNS')=5,
('chosen',)	('choose', 'VVN')=1,
